country,latitude,longitude,address
Poland,52.215933,19.134422,Polska
Honduras,15.2572432,-86.0755145,Honduras
Iraq,33.0955793,44.1749775,العراق
Ghana,8.0300284,-1.0800271,Ghana
India,22.3511148,78.6677428,India
Madagascar,-18.9249604,46.4416422,Madagasikara / Madagascar
Chile,-31.7613365,-71.3187697,Chile
Thailand,14.8971921,100.83273,ประเทศไทย
Canada,61.0666922,-107.991707,Canada
Kenya,1.4419683,38.4313975,Kenya
Guatemala,15.5855545,-90.345759,Guatemala
Cambodia,12.5433216,104.8144914,ព្រះរាជាណាចក្រ​កម្ពុជា
Pakistan,30.3308401,71.247499,پاکستان
Benin,9.5293472,2.2584408,Bénin
Tanzania,-6.5247123,35.7878438,Tanzania
Angola,-11.8775768,17.5691241,Angola
Ukraine,49.4871968,31.2718321,Україна
Philippines,12.7503486,122.7312101,Philippines
United Arab Emirates,24.0002488,53.9994829,الإمارات العربية المتحدة
Malaysia,4.5693754,102.2656823,Malaysia
Nigeria,9.6000359,7.9999721,Nigeria
Mozambique,-19.302233,34.9144977,Moçambique
China,35.000074,104.999927,中国
Germany,51.1638175,10.4478313,Deutschland
"Korea, Republic of",1.2788875,103.8515463,"Korea Investment Corporation Singapore, 8, Marina View, Central Subzone, Civic District, Downtown Core, Central Region, Singapore, 018960, Singapore"
United Kingdom,54.7023545,-3.2765753,United Kingdom
